Cluster ID;size;profile_id;Year of date;Month of date;#bookings;#comments;#favourites;#improvements;#likes;#messages;#relationships;#replies;#responses;#reviews;#topics;points;ratio;std dev;impact;std dev impact
2009;108;600;2014;9;0;0;1;17;0;0;0;8;2;6;0;405;1,00;0,37;0,00;0,00
2009;108;600;2014;10;0;0;4;3;0;0;2;13;18;0;0;45;0,00;0,00;0,00;0,00
2009;108;600;2014;11;0;2;3;30;8;0;1;23;5;1;0;475;1,00;0,00;0,00;0,00
2009;108;600;2014;12;0;0;3;7;2;0;0;24;6;0;0;105;0,00;0,00;0,00;0,00
2009;108;600;2015;1;0;0;0;11;0;0;0;2;0;0;0;165;0,00;0,00;0,00;0,00
2009;108;600;2015;2;0;0;0;6;0;0;0;4;0;1;0;103;0,00;0,00;0,00;0,00
2009;108;600;2015;3;0;1;0;8;1;0;0;12;2;0;0;120;0,00;0,00;0,00;0,00
2009;108;600;2015;4;0;0;0;28;0;0;0;1;0;0;0;420;0,00;0,00;0,00;0,00
2009;108;600;2015;5;0;0;0;0;0;0;0;1;0;0;0;0;0,00;0,00;0,00;0,00
2009;108;600;2015;7;0;0;0;18;0;0;0;5;0;0;0;270;0,00;0,00;0,00;0,00
2009;108;600;2015;8;0;0;0;1;0;0;0;4;0;0;0;15;0,00;0,00;0,00;0,00
2009;108;600;2015;9;0;0;0;0;0;0;0;2;0;0;0;0;0,00;0,00;0,00;0,00
2009;108;600;2015;10;0;0;0;54;0;0;0;2;0;0;0;810;0,00;0,00;0,00;0,00
2009;108;600;2015;11;0;0;0;20;0;0;0;5;0;0;0;300;0,00;0,00;0,00;0,00
2009;108;600;2015;12;0;0;0;33;0;0;0;6;0;0;0;495;0,00;0,00;0,00;0,00
2009;108;600;2016;1;0;0;0;11;0;0;0;4;0;0;0;165;0,00;0,00;0,00;0,00
2009;108;600;2016;3;0;0;0;8;0;0;0;1;0;1;0;145;3,00;0,00;0,00;0,00
2009;108;600;2016;4;0;0;1;19;1;0;0;6;0;0;0;285;0,00;0,00;0,00;0,00
2009;108;600;2016;5;0;0;0;37;4;0;0;4;1;0;0;555;0,00;0,00;0,00;0,00
2009;108;600;2016;6;0;0;0;42;0;0;2;10;1;0;0;632;0,00;0,00;0,00;0,00
2009;108;600;2016;7;0;0;1;0;0;0;2;1;1;2;0;32;0,00;0,00;0,00;0,00
2009;108;600;2016;8;0;1;1;26;0;0;0;9;3;4;0;468;0,00;0,00;0,00;0,00
2009;108;600;2016;9;0;0;0;22;0;0;0;2;0;0;0;330;0,00;0,00;0,00;0,00
2009;108;600;2016;10;0;0;0;19;0;0;0;2;0;0;0;285;0,00;0,00;0,00;0,00
2009;108;654;2014;2;0;0;0;0;0;1;0;0;0;3;0;51;0,00;0,00;0,00;0,00
2009;108;654;2014;4;0;0;0;1;0;1;0;0;0;0;0;15;0,00;0,00;0,00;0,00
2009;108;654;2014;7;0;0;1;0;0;0;0;0;2;3;0;55;2,00;0,47;7,00;3,30
2009;108;654;2014;11;0;0;0;0;0;0;0;0;0;1;0;13;1,00;0,00;0,00;0,00
2009;108;654;2016;2;0;0;0;0;0;0;0;0;0;1;0;25;0,00;0,00;0,00;0,00
2009;108;687;2014;1;0;0;0;0;0;0;1;0;0;0;0;0;0,00;0,00;0,00;0,00
2009;108;687;2014;10;0;0;0;0;0;0;0;0;0;7;0;93;1,00;0,35;0,00;0,00
2009;108;687;2015;2;0;0;3;0;0;0;0;0;0;2;0;16;0,00;0,00;0,00;0,00
2009;108;687;2015;7;0;0;2;0;0;0;0;0;0;1;0;7;0,00;0,00;0,00;0,00
2009;108;687;2015;8;0;0;1;0;0;0;0;0;0;2;0;16;0,00;0,00;0,00;0,00
2009;108;687;2015;10;0;0;1;0;0;0;0;0;0;1;0;7;0,00;0,00;0,00;0,00
2009;108;687;2015;11;0;0;0;0;0;0;0;0;0;2;0;22;0,00;0,00;1,00;0,50
2009;108;687;2015;12;0;0;1;0;0;0;0;0;0;2;0;12;0,00;0,00;0,00;0,00
2009;108;687;2016;1;0;0;1;0;0;0;0;0;0;2;0;14;0,00;0,00;0,00;0,00
2009;108;687;2016;2;0;0;1;0;0;0;0;0;0;1;0;7;0,00;0,00;0,00;0,00
2009;108;687;2016;5;0;0;1;0;0;0;0;0;0;2;0;12;0,00;0,00;0,00;0,00
2009;108;687;2016;6;0;0;0;1;0;0;0;0;0;1;0;20;0,00;0,00;1,00;0,00
2009;108;687;2016;7;0;0;1;0;0;0;0;0;0;1;0;9;0,00;0,00;0,00;0,00
2009;108;687;2016;8;0;0;1;0;0;0;0;0;0;0;0;0;0,00;0,00;0,00;0,00
2009;108;687;2016;10;0;0;1;0;0;0;0;0;0;1;0;7;0,00;0,00;0,00;0,00
2009;108;805;2014;2;0;0;0;0;2;0;0;0;0;0;0;0;0,00;0,00;0,00;0,00
2009;108;805;2014;3;0;0;0;0;1;0;0;0;0;0;0;0;0,00;0,00;0,00;0,00
2009;108;805;2015;7;0;0;0;0;1;0;0;0;1;0;0;0;0,00;0,00;0,00;0,00
2009;108;805;2015;12;0;0;0;0;1;0;0;0;0;0;0;0;0,00;0,00;0,00;0,00
2009;108;805;2016;2;0;0;0;0;1;0;0;0;1;0;0;0;0,00;0,00;0,00;0,00
2009;108;845;2014;3;0;0;0;0;0;0;0;0;0;1;0;9;1,00;0,00;0,00;0,00
2009;108;845;2014;5;0;0;0;0;0;0;0;0;0;1;0;11;0,00;0,00;0,00;0,00
2009;108;845;2014;8;0;0;0;0;0;0;0;0;0;1;0;5;0,00;0,00;0,00;0,00
2009;108;845;2014;9;0;0;0;0;0;0;0;0;0;1;0;7;0,00;0,00;0,00;0,00
2009;108;845;2014;11;0;0;0;0;0;0;1;0;0;0;0;0;0,00;0,00;0,00;0,00
2009;108;845;2015;2;0;0;0;0;0;0;0;0;0;1;0;9;0,00;0,00;0,00;0,00
2009;108;845;2015;4;0;0;0;0;0;0;0;0;0;1;0;63;0,00;0,00;0,00;0,00
2009;108;845;2015;5;0;0;0;0;0;0;0;0;0;1;0;9;0,00;0,00;0,00;0,00
2009;108;845;2015;9;0;0;0;0;0;0;0;0;0;1;0;5;0,00;0,00;0,00;0,00
2009;108;845;2015;10;0;0;0;0;0;0;0;0;0;1;0;7;0,00;0,00;0,00;0,00
2009;108;845;2015;12;0;0;0;0;0;0;0;0;0;2;0;28;0,00;0,00;0,00;0,00
2009;108;845;2016;4;0;0;0;0;0;0;0;0;0;3;0;17;0,00;0,00;0,00;0,00
2009;108;845;2016;8;0;0;0;0;0;0;0;0;0;1;0;7;0,00;0,00;0,00;0,00
2009;108;902;2014;4;0;0;0;0;0;0;0;0;0;1;0;5;1,00;0,00;0,00;0,00
2009;108;902;2014;5;0;0;1;0;0;0;0;0;0;3;0;31;3,00;0,00;0,00;0,00
2009;108;902;2014;8;0;0;0;0;0;0;0;0;0;2;0;10;2,00;0,00;0,00;0,00
2009;108;902;2014;9;0;0;0;0;0;0;0;0;0;1;0;7;1,00;0,00;0,00;0,00
2009;108;902;2014;10;0;0;0;0;0;0;0;0;0;1;0;7;1,00;0,00;0,00;0,00
2009;108;902;2014;11;0;0;0;0;0;0;0;0;0;1;0;11;1,00;0,00;0,00;0,00
2009;108;902;2014;12;0;0;0;0;0;0;0;0;0;1;0;9;1,00;0,00;0,00;0,00
2009;108;902;2015;1;0;0;0;0;0;0;0;0;0;3;0;15;3,00;0,00;0,00;0,00
2009;108;902;2015;4;0;0;0;0;0;0;0;0;0;1;0;5;1,00;0,00;0,00;0,00
2009;108;902;2015;5;0;0;0;0;0;0;0;0;0;6;0;134;6,00;0,00;0,00;0,00
2009;108;902;2015;6;0;0;0;0;0;0;0;0;0;4;0;24;4,00;0,00;0,00;0,00
2009;108;902;2015;7;0;0;0;0;0;0;0;0;0;2;0;10;2,00;0,00;0,00;0,00
2009;108;902;2015;8;0;0;0;0;0;0;0;0;0;3;0;19;3,00;0,00;0,00;0,00
2009;108;902;2015;9;0;0;0;0;0;0;0;0;0;3;0;19;3,00;0,00;0,00;0,00
2009;108;902;2015;10;0;0;0;0;0;0;0;0;0;1;0;5;1,00;0,00;0,00;0,00
2009;108;902;2015;11;0;0;0;0;38;0;0;0;0;3;0;15;3,00;0,00;0,00;0,00
2009;108;902;2015;12;0;0;0;0;30;0;0;0;0;1;0;5;1,00;0,00;0,00;0,00
2009;108;902;2016;1;0;0;0;0;0;0;0;0;0;1;0;5;1,00;0,00;0,00;0,00
2009;108;902;2016;6;0;0;0;0;0;0;0;0;0;2;0;10;1,00;0,50;0,00;0,00
2009;108;902;2016;8;0;0;0;0;0;0;0;0;0;1;0;5;0,00;0,00;0,00;0,00
2009;108;904;2014;8;0;0;0;0;0;0;0;0;0;1;0;9;0,00;0,00;0,00;0,00
2009;108;904;2014;10;0;0;0;0;0;0;0;0;1;2;0;12;0,00;0,00;0,00;0,00
2009;108;904;2015;1;0;0;0;0;0;0;0;0;0;3;0;39;0,00;0,00;0,00;0,00
2009;108;904;2015;2;0;0;0;0;0;0;0;0;0;1;0;9;0,00;0,00;0,00;0,00
2009;108;904;2016;10;0;0;0;0;0;0;0;0;0;1;0;17;0,00;0,00;0,00;0,00
2009;108;1021;2014;1;0;0;1;0;0;0;0;0;0;4;0;64;0,00;0,00;0,00;0,00
2009;108;1021;2014;2;0;0;2;0;0;0;0;0;0;2;0;34;0,00;0,00;0,00;0,00
2009;108;1021;2014;3;0;0;0;0;0;0;0;0;0;1;0;25;0,00;0,00;0,00;0,00
2009;108;1021;2014;4;0;0;0;0;0;0;0;0;0;1;0;25;0,00;0,00;0,00;0,00
2009;108;1021;2014;7;0;0;0;0;0;0;0;0;0;5;0;69;1,00;0,40;1,00;0,40
2009;108;1021;2014;8;0;0;0;0;0;0;0;0;0;1;0;13;0,00;0,00;0,00;0,00
2009;108;1021;2014;11;0;0;1;0;0;0;0;0;0;4;0;78;3,00;0,83;0,00;0,00
2009;108;1021;2014;12;0;0;0;0;0;0;0;0;2;1;0;273;1,00;0,00;4,00;0,00
2009;108;1021;2015;2;0;0;0;0;0;0;0;0;1;2;0;44;1,00;0,50;2,00;1,00
2009;108;1021;2015;3;0;0;0;0;0;0;0;0;0;1;0;25;0,00;0,00;0,00;0,00
2009;108;1021;2015;4;0;0;0;0;0;0;0;0;0;1;0;19;0,00;0,00;0,00;0,00
2009;108;1021;2015;7;0;0;0;0;0;0;0;0;0;1;0;17;0,00;0,00;0,00;0,00
2009;108;1021;2015;8;0;0;0;0;0;0;0;1;0;1;0;15;0,00;0,00;0,00;0,00
2009;108;1021;2015;9;0;0;0;0;0;0;0;2;0;0;0;0;0,00;0,00;0,00;0,00
2009;108;1021;2015;11;0;0;0;0;0;0;0;0;1;3;0;45;1,00;0,47;0,00;0,00
2009;108;1021;2015;12;0;0;0;0;0;0;0;0;0;4;0;54;1,00;0,43;0,00;0,00
2009;108;1021;2016;1;0;0;0;0;0;0;0;0;0;1;0;25;1,00;0,00;0,00;0,00
2009;108;1021;2016;3;0;0;1;0;0;0;0;0;0;0;0;0;0,00;0,00;0,00;0,00
2009;108;1021;2016;4;0;0;0;0;0;0;0;0;0;2;0;40;1,00;0,50;0,00;0,00
2009;108;1021;2016;7;0;0;0;0;0;0;0;1;0;1;0;25;0,00;0,00;0,00;0,00
2009;108;1021;2016;10;0;0;0;0;0;0;0;0;0;1;0;25;0,00;0,00;0,00;0,00
2009;108;1037;2014;6;1;0;0;0;0;0;0;0;0;0;0;0;0,00;0,00;0,00;0,00
2009;108;1037;2015;1;1;0;0;0;0;0;0;0;0;0;0;0;0,00;0,00;0,00;0,00
2009;108;1037;2015;5;1;0;0;0;0;0;0;0;0;0;0;0;0,00;0,00;0,00;0,00
2009;108;1037;2016;3;2;0;0;0;0;0;0;0;0;0;0;0;0,00;0,00;0,00;0,00
2009;108;1037;2016;6;1;0;0;0;0;0;0;0;0;0;0;0;0,00;0,00;0,00;0,00
2009;108;1037;2016;9;1;0;0;0;0;0;0;0;0;0;0;0;0,00;0,00;0,00;0,00
